"Date","Time (GMT)","Predicted (m)","Preliminary (m)","Verified (m)"
"2015/01/01","00:00","0.48","-","0.616"
"2015/01/01","01:00","0.325","-","0.432"
"2015/01/01","02:00","0.145","-","0.242"
"2015/01/01","03:00","-0.009","-","0.084"
"2015/01/01","04:00","-0.099","-","-0.006"
"2015/01/01","05:00","-0.095","-","-0.015"
"2015/01/01","06:00","0.007","-","0.075"
"2015/01/01","07:00","0.179","-","0.21"
"2015/01/01","08:00","0.381","-","0.386"
"2015/01/01","09:00","0.564","-","0.575"
"2015/01/01","10:00","0.687","-","0.699"
"2015/01/01","11:00","0.733","-","0.734"
"2015/01/01","12:00","0.698","-","0.696"
"2015/01/01","13:00","0.583","-","0.569"
"2015/01/01","14:00","0.407","-","0.394"
"2015/01/01","15:00","0.217","-","0.202"
"2015/01/01","16:00","0.054","-","0.034"
"2015/01/01","17:00","-0.039","-","-0.058"
"2015/01/01","18:00","-0.036","-","-0.067"
"2015/01/01","19:00","0.058","-","-0.013"
"2015/01/01","20:00","0.212","-","0.145"
"2015/01/01","21:00","0.384","-","0.3"
"2015/01/01","22:00","0.521","-","0.435"
"2015/01/01","23:00","0.586","-","0.494"
"2015/01/02","00:00","0.57","-","0.483"
"2015/01/02","01:00","0.473","-","0.392"
"2015/01/02","02:00","0.311","-","0.203"
"2015/01/02","03:00","0.128","-","0.002"
"2015/01/02","04:00","-0.026","-","-0.172"
"2015/01/02","05:00","-0.11","-","-0.286"
"2015/01/02","06:00","-0.096","-","-0.319"
"2015/01/02","07:00","0.014","-","-0.209"
"2015/01/02","08:00","0.192","-","-0.029"
"2015/01/02","09:00","0.401","-","0.212"
"2015/01/02","10:00","0.589","-","0.435"
"2015/01/02","11:00","0.709","-","0.571"
"2015/01/02","12:00","0.747","-","0.608"
"2015/01/02","13:00","0.701","-","0.572"
"2015/01/02","14:00","0.572","-","0.451"
"2015/01/02","15:00","0.384","-","0.252"
"2015/01/02","16:00","0.186","-","0.059"
"2015/01/02","17:00","0.024","-","-0.109"
"2015/01/02","18:00","-0.061","-","-0.208"
"2015/01/02","19:00","-0.048","-","-0.205"
"2015/01/02","20:00","0.056","-","-0.118"
"2015/01/02","21:00","0.223","-","0.089"
"2015/01/02","22:00","0.404","-","0.284"
"2015/01/02","23:00","0.541","-","0.454"
"2015/01/03","00:00","0.598","-","0.504"
"2015/01/03","01:00","0.572","-","0.479"
"2015/01/03","02:00","0.462","-","0.348"
"2015/01/03","03:00","0.287","-","0.152"
"2015/01/03","04:00","0.099","-","-0.044"
"2015/01/03","05:00","-0.049","-","-0.181"
"2015/01/03","06:00","-0.12","-","-0.241"
"2015/01/03","07:00","-0.092","-","-0.191"
"2015/01/03","08:00","0.031","-","-0.028"
"2015/01/03","09:00","0.223","-","0.196"
"2015/01/03","10:00","0.44","-","0.428"
"2015/01/03","11:00","0.623","-","0.617"
"2015/01/03","12:00","0.731","-","0.72"
"2015/01/03","13:00","0.752","-","0.743"
"2015/01/03","14:00","0.687","-","0.689"
"2015/01/03","15:00","0.537","-","0.556"
"2015/01/03","16:00","0.336","-","0.362"
"2015/01/03","17:00","0.137","-","0.142"
"2015/01/03","18:00","-0.014","-","-0.005"
"2015/01/03","19:00","-0.083","-","-0.072"
"2015/01/03","20:00","-0.051","-","-0.026"
"2015/01/03","21:00","0.073","-","0.132"
"2015/01/03","22:00","0.257","-","0.331"
"2015/01/03","23:00","0.441","-","0.541"
"2015/01/04","00:00","0.568","-","0.689"
"2015/01/04","01:00","0.61","-","0.738"
"2015/01/04","02:00","0.567","-","0.691"
"2015/01/04","03:00","0.437","-","0.565"
"2015/01/04","04:00","0.25","-","0.375"
"2015/01/04","05:00","0.063","-","0.182"
"2015/01/04","06:00","-0.073","-","0.062"
"2015/01/04","07:00","-0.126","-","0.012"
